Hanzi,Meaning,Cantonese,Cantonese Romanization,Mandarin,Mandarin Romanization,Minnan,Minnan Romanization,Vietnamese,Vietnamese Romanization,Japanese,Japanese Romanization
一,One,一,jat1,一,yi1,一,ig4,壹,nhất,一,ichi
二,Two,二,ji6,二,er4,二,ri7,貳,nhị,二,ni
三,Three,三,saam1,三,san1,三,sang1,叄,tam,三,san
四,Four,四,sei3,四,si4,四,se3,肆,tứ,四,shi
五,Five,五,ng5,五,wu3,五,u2,伍,ngũ,五,go
六,Six,六,luk6,六,liu4,六,liu5,陸,lục,六,roku
七,Seven,七,cat1,七,qi1,七,ceg4,柒,thất,七,shichi
八,Eight,八,baat3,八,ba1,八,bag4,捌,bát,nonexistant,nonexistant
九,Nine,九,gau2,九,jiu3,九,giu2,玖,cửu,九,kyu
十,Ten,十,sap6,十,shi2,十,zab8,拾,thập,十,ju
百,Hundred,百,baak3,百,bai3,百,beh4,佰,bá,nonexistant,nonexistant
